Date,Open,High,Low,Close,Volume
29-Dec-14,7.00,7.00,6.76,6.88,21434
26-Dec-14,6.78,6.97,6.78,6.97,6287
24-Dec-14,6.77,6.97,6.55,6.97,20092
23-Dec-14,6.76,6.87,6.65,6.81,7938
22-Dec-14,6.75,6.93,6.70,6.76,9009
19-Dec-14,6.77,6.98,6.75,6.82,4558
18-Dec-14,6.70,7.00,6.70,6.97,6477
17-Dec-14,6.95,6.97,6.75,6.83,16605
16-Dec-14,6.83,6.97,6.75,6.89,16262
15-Dec-14,6.92,7.03,6.88,7.03,16264
12-Dec-14,7.18,7.18,7.01,7.01,5358
11-Dec-14,7.14,7.21,7.13,7.19,5200
10-Dec-14,7.06,7.26,6.94,7.21,15977
9-Dec-14,7.07,7.29,7.06,7.29,9467
8-Dec-14,7.35,7.35,7.05,7.28,7474
5-Dec-14,7.21,7.36,7.21,7.36,6707
4-Dec-14,7.27,7.42,6.95,7.13,10569
3-Dec-14,7.23,7.23,6.89,7.20,5856
2-Dec-14,7.16,7.38,6.90,7.22,25033
1-Dec-14,7.26,7.41,7.11,7.41,11551
28-Nov-14,7.25,7.45,7.12,7.44,4026
26-Nov-14,7.22,7.40,7.20,7.34,7894
25-Nov-14,7.05,7.32,7.00,7.32,12961
24-Nov-14,6.91,7.03,6.86,7.03,15912
21-Nov-14,6.95,7.08,6.83,6.97,3880
20-Nov-14,6.90,7.00,6.73,7.00,15653
19-Nov-14,6.95,7.00,6.73,7.00,21076
18-Nov-14,7.03,7.10,6.96,7.02,14570
17-Nov-14,7.30,7.30,6.99,7.08,12896
14-Nov-14,7.22,7.57,7.18,7.27,11694
13-Nov-14,7.40,7.40,7.10,7.30,12887
12-Nov-14,7.80,7.80,7.25,7.45,52417
11-Nov-14,8.00,8.00,7.75,7.97,19448
10-Nov-14,7.72,7.73,6.67,7.73,9968
7-Nov-14,7.65,7.76,7.62,7.74,10784
6-Nov-14,7.11,7.76,7.11,7.74,14292
5-Nov-14,7.78,7.78,7.45,7.72,21475
4-Nov-14,7.27,7.70,7.08,7.69,20556
3-Nov-14,7.68,7.77,7.36,7.69,7956
31-Oct-14,7.26,7.75,7.04,7.74,28668
30-Oct-14,7.14,7.39,7.01,7.38,22154
29-Oct-14,7.25,7.47,6.78,7.14,31830
28-Oct-14,7.00,7.30,6.89,7.30,17931
27-Oct-14,7.04,7.04,6.87,6.92,5348
24-Oct-14,6.84,7.08,6.84,7.04,11303
23-Oct-14,7.42,7.42,6.95,6.95,45614
22-Oct-14,6.96,7.50,6.96,7.30,45165
21-Oct-14,6.37,6.86,6.37,6.59,7737
20-Oct-14,6.72,6.72,6.30,6.40,26890
17-Oct-14,6.80,6.86,6.70,6.73,20308
16-Oct-14,6.32,6.86,6.32,6.78,12789
15-Oct-14,6.81,6.87,5.82,6.52,57753
14-Oct-14,6.81,6.87,6.45,6.85,23384
13-Oct-14,7.23,7.24,6.67,6.87,39038
10-Oct-14,7.48,7.50,7.14,7.23,22417
9-Oct-14,7.39,7.49,7.31,7.36,17820
8-Oct-14,7.50,7.50,7.38,7.39,9100
7-Oct-14,7.41,7.60,7.35,7.46,9610
6-Oct-14,7.78,7.80,7.32,7.36,20197
3-Oct-14,7.30,7.74,7.30,7.70,19444
2-Oct-14,7.34,7.46,7.30,7.33,9408
1-Oct-14,7.43,7.50,7.30,7.31,11704
30-Sep-14,7.50,7.59,7.34,7.55,15290
29-Sep-14,7.41,7.60,7.41,7.49,8236
26-Sep-14,7.47,7.49,7.25,7.49,14360
25-Sep-14,7.64,7.73,7.19,7.45,26678
24-Sep-14,7.76,7.79,7.51,7.65,33805
23-Sep-14,7.75,7.99,7.66,7.76,22188
